transaction_id,customer_id,amount,error_code,historical_success_rate,previous_failed_attempts,time_of_day,device_type,outcome_no_action,outcome_retry_now,outcome_retry_delayed,outcome_reminder,outcome_incentive_10
RP_D4CA6D9E,CUST_1995,2922.64,CUSTOMER_ABANDONED,0.921,1,4,Mobile,0,0,0,0,1
RP_9024CE6F,CUST_8629,657.52,GATEWAY_TIMEOUT,0.91,1,5,Mobile,0,0,1,0,1
RP_7C11401C,CUST_2016,1776.33,3D_SECURE_FAILED,0.694,0,5,Mobile,0,0,1,1,0
RP_B6FE53B5,CUST_8869,461.11,GATEWAY_TIMEOUT,0.757,0,21,Mobile,0,1,0,0,0
RP_C55A03B4,CUST_7439,3024.89,RISK_BLOCKED,0.951,0,21,Mobile,0,0,0,1,0
RP_C4AAEC57,CUST_8892,4365.39,GATEWAY_TIMEOUT,0.772,2,22,Mobile,0,0,0,0,0
RP_10398ED8,CUST_7863,2130.34,CUSTOMER_ABANDONED,0.738,1,10,Desktop,0,0,0,0,0
RP_984504AA,CUST_8916,705.64,GATEWAY_TIMEOUT,0.667,0,16,Mobile,0,1,0,0,0
RP_18572D66,CUST_9529,858.79,GATEWAY_TIMEOUT,0.822,0,8,Mobile,0,0,0,0,0
RP_668F8D23,CUST_1878,9583.7,3D_SECURE_FAILED,0.701,0,21,Mobile,0,0,0,1,0
RP_3FB8B14E,CUST_5887,719.93,3D_SECURE_FAILED,0.923,1,15,Mobile,0,0,1,1,1
RP_70D77629,CUST_5859,3866.07,INSUFFICIENT_FUNDS,0.867,0,9,Mobile,0,0,0,0,0
RP_4B1FD569,CUST_7331,1646.93,CUSTOMER_ABANDONED,0.58,0,14,Desktop,0,0,0,0,1
RP_B3F6380B,CUST_9571,734.39,CUSTOMER_ABANDONED,0.724,1,7,Mobile,0,0,0,1,0
RP_2566F26D,CUST_9684,218.42,3D_SECURE_FAILED,0.671,0,13,Mobile,0,0,0,0,0
RP_24AE0DEC,CUST_8208,1413.64,INSUFFICIENT_FUNDS,0.655,0,15,Mobile,0,0,0,0,0
RP_DBA35771,CUST_6276,1223.32,INSUFFICIENT_FUNDS,0.913,1,18,Mobile,0,0,0,0,0
RP_9E03C3A3,CUST_3062,9583.92,INSUFFICIENT_FUNDS,0.614,0,2,Mobile,0,0,0,1,0
RP_49E6B52A,CUST_1064,390.63,INSUFFICIENT_FUNDS,0.401,0,12,Mobile,0,0,0,0,0
RP_BCA28D16,CUST_9006,17218.2,3D_SECURE_FAILED,0.712,0,8,Mobile,0,1,0,0,0
RP_20A7D2B5,CUST_3568,1727.75,GATEWAY_TIMEOUT,0.78,0,11,Desktop,0,0,1,0,0
RP_ED07157F,CUST_6463,1725.71,GATEWAY_TIMEOUT,0.427,0,4,Mobile,0,0,0,0,0
RP_0CEB16A3,CUST_3027,538.24,CUSTOMER_ABANDONED,0.526,1,20,Mobile,0,0,0,0,0
RP_6AD2000C,CUST_3695,1599.82,CUSTOMER_ABANDONED,0.769,0,18,Mobile,0,0,0,1,0
RP_08EDBF0D,CUST_6258,1934.61,GATEWAY_TIMEOUT,0.739,0,6,Desktop,0,1,0,0,0
RP_5C12F5F5,CUST_6618,3377.17,INSUFFICIENT_FUNDS,0.779,0,6,Mobile,0,0,0,0,0
RP_E2859456,CUST_7736,339.0,3D_SECURE_FAILED,0.417,0,18,Mobile,0,0,0,0,0
RP_D94C83AC,CUST_1391,5932.12,GATEWAY_TIMEOUT,0.614,0,7,Mobile,0,0,0,0,0
RP_27354872,CUST_6892,1692.05,CUSTOMER_ABANDONED,0.682,0,5,Mobile,0,0,0,0,0
RP_7EEC58A4,CUST_4561,2275.32,CUSTOMER_ABANDONED,0.844,0,2,Mobile,0,0,0,0,0
RP_FE1DEABA,CUST_7184,841.23,INSUFFICIENT_FUNDS,0.75,0,21,Mobile,0,0,0,1,0
RP_9A6885B7,CUST_4099,360.04,3D_SECURE_FAILED,0.355,0,0,Desktop,0,0,0,0,0
RP_A7A33246,CUST_7278,1196.64,CUSTOMER_ABANDONED,0.949,1,5,Desktop,0,0,0,0,0
RP_F23B2181,CUST_9392,1373.0,INSUFFICIENT_FUNDS,0.852,0,22,Mobile,0,0,0,0,0
RP_AFAF8C7F,CUST_4104,207.99,CUSTOMER_ABANDONED,0.766,0,19,Mobile,0,0,0,0,0
RP_20EAD4F7,CUST_8215,2841.09,CUSTOMER_ABANDONED,0.501,0,19,Mobile,0,0,0,0,1
RP_4656D356,CUST_3454,3625.8,CUSTOMER_ABANDONED,0.734,0,18,Mobile,0,0,0,1,1
RP_734DEB54,CUST_9996,456.87,3D_SECURE_FAILED,0.744,0,20,Desktop,0,0,0,0,0
RP_2F47BE09,CUST_3731,321.47,INSUFFICIENT_FUNDS,0.703,0,12,Mobile,0,0,0,0,1
RP_6208891E,CUST_9154,762.38,GATEWAY_TIMEOUT,0.698,0,16,Desktop,0,0,0,0,1
RP_A1CC9176,CUST_6056,1128.53,GATEWAY_TIMEOUT,0.38,0,21,Mobile,0,1,0,0,0
RP_D088A6A2,CUST_9110,798.71,GATEWAY_TIMEOUT,0.65,0,17,Mobile,0,1,0,0,0
RP_34AEE7FB,CUST_4840,1019.33,GATEWAY_TIMEOUT,0.345,0,19,Desktop,0,0,0,0,0
RP_9409B394,CUST_2028,1430.49,3D_SECURE_FAILED,0.841,0,5,Mobile,0,0,0,1,0
RP_7944E2E3,CUST_8385,212.32,CUSTOMER_ABANDONED,0.939,1,10,Mobile,0,0,0,0,0
RP_D2582148,CUST_1502,243.73,CUSTOMER_ABANDONED,0.834,0,5,Mobile,0,0,0,0,1
RP_B709AFED,CUST_7910,100.0,CUSTOMER_ABANDONED,0.679,0,6,Mobile,0,0,0,0,1
RP_9FCE34EA,CUST_7938,3398.38,CUSTOMER_ABANDONED,0.409,0,0,Mobile,0,0,0,0,0
RP_5A98B104,CUST_5488,1116.86,INSUFFICIENT_FUNDS,0.955,0,21,Desktop,0,0,1,1,0
RP_0B663380,CUST_1206,3856.14,3D_SECURE_FAILED,0.717,2,23,Desktop,0,0,0,0,0
RP_136608B0,CUST_6134,279.98,INSUFFICIENT_FUNDS,0.797,1,7,Desktop,0,0,0,1,0
RP_488BE4BB,CUST_6977,1129.23,3D_SECURE_FAILED,0.659,0,13,Mobile,0,0,0,0,1
RP_C500A033,CUST_8721,1419.12,CUSTOMER_ABANDONED,0.828,0,21,Desktop,0,0,0,1,1
RP_D78D8A4B,CUST_8035,558.84,GATEWAY_TIMEOUT,0.917,2,19,Mobile,0,1,0,0,0
RP_FC6D9D0E,CUST_2484,170.01,CUSTOMER_ABANDONED,0.715,1,0,Mobile,0,0,0,1,1
RP_0251455F,CUST_8858,8911.03,INSUFFICIENT_FUNDS,0.784,0,4,Mobile,0,0,0,1,0
RP_108B3C29,CUST_1863,5878.99,GATEWAY_TIMEOUT,0.936,0,4,Mobile,0,1,0,0,0
RP_F02A06BB,CUST_3790,693.45,CUSTOMER_ABANDONED,0.489,0,13,Mobile,0,0,0,0,0
RP_EBF728FA,CUST_8408,2022.87,INSUFFICIENT_FUNDS,0.29,1,6,Mobile,0,0,0,0,0
RP_75A052D2,CUST_9755,612.93,GATEWAY_TIMEOUT,0.724,1,16,Mobile,0,1,1,0,0
RP_28122DFF,CUST_6116,332.13,3D_SECURE_FAILED,0.7,0,10,Desktop,0,0,0,0,0
RP_2BEFCBBF,CUST_7019,9825.28,CUSTOMER_ABANDONED,0.855,0,21,Mobile,0,0,0,1,1
RP_E0D14791,CUST_2757,150.44,3D_SECURE_FAILED,0.631,2,6,Mobile,0,0,0,1,0
RP_265EB934,CUST_8574,778.52,CUSTOMER_ABANDONED,0.851,1,0,Desktop,0,0,0,0,0
RP_468E78F4,CUST_7374,1213.41,INSUFFICIENT_FUNDS,0.514,0,14,Mobile,0,0,1,0,0
RP_C4F47BE0,CUST_7892,7954.43,INSUFFICIENT_FUNDS,0.65,0,18,Desktop,0,0,0,0,0
RP_9795E077,CUST_2678,3216.04,CUSTOMER_ABANDONED,0.842,0,9,Desktop,0,0,0,0,0
RP_51535E0D,CUST_4242,147.42,RISK_BLOCKED,0.857,0,8,Mobile,0,0,0,0,0
RP_0197B94B,CUST_5636,1093.02,GATEWAY_TIMEOUT,0.87,0,12,Mobile,0,0,1,0,0
RP_F662542F,CUST_2059,1124.7,3D_SECURE_FAILED,0.926,0,23,Mobile,0,0,0,0,0
RP_B9A0DDDC,CUST_7668,833.8,3D_SECURE_FAILED,0.729,2,12,Mobile,0,0,0,0,0
RP_E010AD0E,CUST_4157,2307.16,CUSTOMER_ABANDONED,0.763,1,5,Mobile,0,0,0,1,1
RP_3BD9A85A,CUST_6915,202.16,3D_SECURE_FAILED,0.87,0,7,Mobile,0,0,0,0,1
RP_8DE8F93A,CUST_3693,671.58,INSUFFICIENT_FUNDS,0.663,1,11,Mobile,0,0,0,0,0
RP_AE4C725A,CUST_4627,1948.05,RISK_BLOCKED,0.596,0,1,Mobile,0,0,0,0,0
RP_2976C07E,CUST_6450,2478.7,CUSTOMER_ABANDONED,0.641,0,15,Mobile,0,0,0,1,0
RP_AFD98A11,CUST_2663,1311.99,GATEWAY_TIMEOUT,0.721,1,11,Desktop,0,0,0,0,0
RP_8D385B62,CUST_6592,775.83,3D_SECURE_FAILED,0.938,0,22,Mobile,0,0,0,1,1
RP_583FBF65,CUST_8392,949.63,INSUFFICIENT_FUNDS,0.234,1,17,Desktop,0,0,0,0,0
RP_0DB610B0,CUST_2306,2666.41,INSUFFICIENT_FUNDS,0.718,0,2,Mobile,0,0,0,0,1
RP_2ABE84C5,CUST_7776,1142.17,CUSTOMER_ABANDONED,0.333,0,17,Mobile,0,0,0,0,0
RP_04CCC34F,CUST_6864,314.12,GATEWAY_TIMEOUT,0.391,0,10,Mobile,0,0,0,0,0
RP_3E519ADC,CUST_8526,249.59,INSUFFICIENT_FUNDS,0.643,0,4,Desktop,0,0,0,1,0
RP_CFC529E4,CUST_9901,183.54,CUSTOMER_ABANDONED,0.873,0,12,Mobile,0,0,0,0,1
RP_75D41ADB,CUST_6575,6289.88,GATEWAY_TIMEOUT,0.757,2,9,Mobile,0,0,0,0,0
RP_E94AD4AC,CUST_6530,2889.83,GATEWAY_TIMEOUT,0.687,0,20,Mobile,0,0,1,0,0
RP_E92BD687,CUST_5413,965.08,GATEWAY_TIMEOUT,0.947,0,21,Mobile,0,0,1,0,0
RP_632FFC0C,CUST_4748,636.16,INSUFFICIENT_FUNDS,0.687,0,14,Mobile,0,0,0,0,0
RP_EFA886FE,CUST_1663,550.75,CUSTOMER_ABANDONED,0.606,1,5,Mobile,0,0,0,0,0
RP_22AAC9A5,CUST_2998,4071.98,CUSTOMER_ABANDONED,0.833,0,15,Desktop,0,0,0,0,1
RP_E553F33E,CUST_8994,10778.62,3D_SECURE_FAILED,0.644,0,22,Mobile,0,0,0,1,0
RP_E9526321,CUST_2495,530.35,CUSTOMER_ABANDONED,0.855,1,7,Mobile,0,0,0,0,1
RP_BED49B87,CUST_4304,4298.83,GATEWAY_TIMEOUT,0.508,2,19,Desktop,0,0,0,1,0
RP_814D5EAD,CUST_4763,1134.12,3D_SECURE_FAILED,0.86,1,2,Mobile,0,0,0,0,0
RP_47B15E18,CUST_6232,849.87,CUSTOMER_ABANDONED,0.926,0,4,Desktop,0,0,0,0,1
RP_9CF15A8B,CUST_2853,6667.88,CUSTOMER_ABANDONED,0.682,0,14,Mobile,0,0,0,1,1
RP_41362712,CUST_7585,1083.34,CUSTOMER_ABANDONED,0.66,1,2,Mobile,0,0,0,0,0
RP_BB590CD9,CUST_2291,1564.99,3D_SECURE_FAILED,0.98,2,14,Mobile,0,0,0,0,0
RP_19C9253E,CUST_4581,1477.24,CUSTOMER_ABANDONED,0.751,2,1,Desktop,0,0,0,0,0
RP_696891B5,CUST_8554,155.91,INSUFFICIENT_FUNDS,0.735,0,11,Desktop,0,0,0,0,0
RP_D56604BA,CUST_8280,1550.13,CUSTOMER_ABANDONED,0.772,1,4,Desktop,0,0,1,0,0
RP_3C6626E1,CUST_2636,558.23,GATEWAY_TIMEOUT,0.86,0,8,Mobile,0,1,1,0,1
RP_DF2F5F19,CUST_4696,199.26,INSUFFICIENT_FUNDS,0.936,0,21,Desktop,0,0,0,0,0
RP_07F9F999,CUST_1698,589.59,INSUFFICIENT_FUNDS,0.728,0,3,Desktop,0,0,0,0,1
RP_2FD755C7,CUST_5737,583.79,GATEWAY_TIMEOUT,0.689,2,22,Mobile,0,1,0,0,0
RP_C3C7ACDB,CUST_1854,3773.88,GATEWAY_TIMEOUT,0.544,0,20,Mobile,0,1,0,0,0
RP_1CD271CC,CUST_9164,305.96,GATEWAY_TIMEOUT,0.837,0,6,Desktop,0,1,0,0,0
RP_3DD86988,CUST_6855,425.04,CUSTOMER_ABANDONED,0.711,2,15,Mobile,0,0,0,0,1
RP_29F26D9E,CUST_8392,1454.57,CUSTOMER_ABANDONED,0.325,0,12,Mobile,0,0,0,0,0
RP_7472565C,CUST_7528,223.42,RISK_BLOCKED,0.917,0,1,Desktop,0,0,0,0,0
RP_34BD4E38,CUST_6249,497.3,INSUFFICIENT_FUNDS,0.751,1,1,Mobile,0,0,0,1,0
RP_2CF0A7D1,CUST_6172,148.8,CUSTOMER_ABANDONED,0.69,1,8,Desktop,0,0,0,1,0
RP_E2A5F931,CUST_2707,3307.72,3D_SECURE_FAILED,0.85,0,14,Mobile,0,0,0,1,0
RP_5101B018,CUST_6791,763.84,GATEWAY_TIMEOUT,0.835,2,3,Mobile,0,0,1,0,0
RP_D67DE5B7,CUST_6535,1075.88,CUSTOMER_ABANDONED,0.862,0,16,Mobile,0,0,0,1,1
RP_7C15843C,CUST_5931,3291.87,CUSTOMER_ABANDONED,0.345,2,8,Mobile,0,0,0,0,0
RP_7C4F8C6D,CUST_4510,460.94,GATEWAY_TIMEOUT,0.652,1,14,Mobile,0,1,0,0,0
RP_B88631B6,CUST_1202,754.17,3D_SECURE_FAILED,0.368,0,0,Mobile,0,0,0,0,0
RP_EF442BD8,CUST_5218,308.71,CUSTOMER_ABANDONED,0.474,1,1,Mobile,0,0,0,0,0
RP_AB9BD033,CUST_9958,307.91,GATEWAY_TIMEOUT,0.768,0,8,Mobile,0,1,0,0,1
RP_F62EF443,CUST_5389,363.33,GATEWAY_TIMEOUT,0.776,0,10,Desktop,0,1,1,0,1
RP_B12B724C,CUST_3327,607.29,GATEWAY_TIMEOUT,0.682,2,18,Mobile,0,1,0,0,0
RP_A8DAD8B5,CUST_9004,691.07,INSUFFICIENT_FUNDS,0.625,0,0,Mobile,0,0,0,0,0
RP_41FC9B8E,CUST_3931,1550.54,INSUFFICIENT_FUNDS,0.681,0,18,Mobile,0,0,0,0,0
RP_0A192EDF,CUST_8777,376.36,INSUFFICIENT_FUNDS,0.782,0,8,Mobile,0,0,0,1,1
RP_45E14B88,CUST_1197,1609.31,GATEWAY_TIMEOUT,0.763,0,1,Mobile,0,1,1,0,0
RP_0CFD9E66,CUST_8125,1962.55,3D_SECURE_FAILED,0.807,1,4,Desktop,0,0,0,0,0
RP_9908840A,CUST_2930,625.54,INSUFFICIENT_FUNDS,0.728,2,16,Desktop,0,0,0,0,0
RP_8F7AB1A3,CUST_7287,417.52,GATEWAY_TIMEOUT,0.815,0,0,Mobile,0,1,1,0,0
RP_22507D9E,CUST_9800,1214.51,INSUFFICIENT_FUNDS,0.841,0,13,Desktop,0,0,0,0,1
RP_FAA2D707,CUST_5282,859.63,INSUFFICIENT_FUNDS,0.887,0,11,Desktop,0,1,0,0,0
RP_5B1906D0,CUST_3511,1428.56,INSUFFICIENT_FUNDS,0.598,0,22,Mobile,0,0,0,0,0
RP_49145DB1,CUST_1659,7214.44,GATEWAY_TIMEOUT,0.82,0,9,Mobile,0,1,0,0,0
RP_6A5EC3DC,CUST_3811,1190.78,GATEWAY_TIMEOUT,0.886,0,18,Desktop,0,0,0,0,1
RP_6861BFBD,CUST_8098,509.24,CUSTOMER_ABANDONED,0.649,0,14,Desktop,0,0,0,0,0
RP_67A07878,CUST_7546,376.51,RISK_BLOCKED,0.943,0,0,Mobile,0,0,0,0,0
RP_024C51E7,CUST_2986,394.4,INSUFFICIENT_FUNDS,0.892,2,0,Mobile,0,0,0,0,1
RP_13B2E961,CUST_9338,189.56,INSUFFICIENT_FUNDS,0.454,1,10,Mobile,0,0,0,0,1
RP_F81A5DC9,CUST_3911,3358.64,CUSTOMER_ABANDONED,0.886,1,10,Mobile,0,0,0,1,1
RP_95BB5395,CUST_2734,100.0,CUSTOMER_ABANDONED,0.816,0,4,Desktop,0,0,0,0,0
RP_C5DD44DC,CUST_2843,1969.88,INSUFFICIENT_FUNDS,0.767,1,2,Desktop,0,0,0,1,0
RP_9C667CB4,CUST_9680,386.96,3D_SECURE_FAILED,0.728,2,10,Mobile,0,0,0,1,0
RP_8D73616C,CUST_3976,592.95,CUSTOMER_ABANDONED,0.495,2,3,Mobile,0,0,0,0,0
RP_B72B1941,CUST_2959,373.31,INSUFFICIENT_FUNDS,0.505,0,5,Desktop,0,0,0,0,1
RP_6235862E,CUST_6759,6216.97,CUSTOMER_ABANDONED,0.887,0,17,Mobile,0,0,0,0,1
RP_F8063F12,CUST_7694,1118.32,RISK_BLOCKED,0.725,0,6,Mobile,0,0,0,0,0
RP_220C7649,CUST_3385,2831.2,CUSTOMER_ABANDONED,0.333,0,20,Mobile,0,0,0,0,0
RP_AA1236E0,CUST_5736,5221.98,GATEWAY_TIMEOUT,0.764,2,23,Mobile,0,1,1,0,0
RP_EEB141D1,CUST_2802,1334.2,INSUFFICIENT_FUNDS,0.822,0,3,Mobile,0,0,0,0,0
RP_CE76CFCC,CUST_9155,261.19,INSUFFICIENT_FUNDS,0.7,0,13,Mobile,0,0,1,1,0
RP_6EB5E0EC,CUST_9120,841.54,INSUFFICIENT_FUNDS,0.616,0,7,Mobile,0,0,1,1,1
RP_22AB88E7,CUST_7616,450.02,CUSTOMER_ABANDONED,0.672,0,19,Desktop,0,0,0,1,0
RP_73F78F07,CUST_6534,599.32,CUSTOMER_ABANDONED,0.708,2,10,Desktop,0,0,0,0,1
RP_F4FD8FF7,CUST_5061,978.92,CUSTOMER_ABANDONED,0.805,0,13,Mobile,0,0,0,1,1
RP_0B370C4A,CUST_1262,933.57,RISK_BLOCKED,0.902,0,20,Mobile,0,0,0,0,0
RP_56728303,CUST_7287,1798.18,GATEWAY_TIMEOUT,0.791,0,2,Mobile,0,1,1,0,1
RP_BFAA3D2E,CUST_9815,2140.44,3D_SECURE_FAILED,0.655,0,10,Mobile,0,0,0,0,0
RP_551864D4,CUST_3049,933.58,CUSTOMER_ABANDONED,0.951,1,3,Mobile,0,0,0,1,1
RP_D554B697,CUST_6423,1779.63,INSUFFICIENT_FUNDS,0.606,1,8,Mobile,0,0,0,0,0
RP_5E01CAF2,CUST_5548,567.23,CUSTOMER_ABANDONED,0.742,0,4,Desktop,0,0,0,0,1
RP_9333EC3B,CUST_4108,5312.06,GATEWAY_TIMEOUT,0.645,2,12,Desktop,0,0,0,0,0
RP_27520299,CUST_8158,556.34,CUSTOMER_ABANDONED,0.485,0,19,Desktop,0,0,0,0,0
RP_44CE1AB8,CUST_8400,4612.95,INSUFFICIENT_FUNDS,0.729,0,3,Mobile,0,0,1,1,0
RP_B8F2F4E5,CUST_4170,186.55,GATEWAY_TIMEOUT,0.747,2,6,Mobile,0,1,1,0,0
RP_835B2AED,CUST_3255,694.72,CUSTOMER_ABANDONED,0.62,0,1,Mobile,0,0,0,1,0
RP_D9E85472,CUST_2154,737.18,CUSTOMER_ABANDONED,0.699,0,19,Mobile,0,0,0,0,1
RP_11260423,CUST_5499,1532.71,GATEWAY_TIMEOUT,0.847,0,18,Mobile,0,0,1,0,1
RP_4021C379,CUST_7295,3084.61,GATEWAY_TIMEOUT,0.635,1,6,Mobile,0,1,0,0,0
RP_95D75CED,CUST_7197,244.87,INSUFFICIENT_FUNDS,0.429,2,19,Mobile,0,0,0,0,0
RP_72882BB1,CUST_2648,290.16,CUSTOMER_ABANDONED,0.735,0,23,Mobile,0,0,0,0,0
RP_EDFDFFC1,CUST_6539,203.92,3D_SECURE_FAILED,0.729,0,20,Desktop,0,0,0,0,0
RP_19502B46,CUST_5199,5346.63,3D_SECURE_FAILED,0.602,0,8,Mobile,0,0,1,0,0
RP_35654255,CUST_9445,1567.33,INSUFFICIENT_FUNDS,0.84,1,18,Mobile,0,0,0,0,0
RP_B0076CD4,CUST_3557,298.5,CUSTOMER_ABANDONED,0.597,0,19,Mobile,0,0,0,0,1
